#  i    j     Ez     Tz    Tzl
   6   77   15.3   15.3   15.3
   6   78   15.7   15.7   15.7
   6   79   17.2   17.2   17.2
   6   80   13.4   13.4   13.4
   6   81    7.6    7.6    7.6
   6   82    6.4    6.4    6.4
   6   83    7.3    7.3    7.3
   6   84    7.9    7.9    7.9
   6   85    8.5    8.5    8.5
   6   86    8.9    8.9    8.9
   6   87    8.9    8.9    8.9
   6   88    8.8    8.8    8.8
   6   89    9.1    9.1    9.1
   6   90    9.1    9.1    9.1
   6   91    9.2    9.2    9.2
   6   92   10.3   10.3   10.3
   6   93    3.6    3.6    3.6
   6   94    3.1    3.1    3.1
   6   95    3.0    3.0    3.0
   6   96    5.2    5.2    5.2
   6   97    7.8    7.8    7.8
   6   98    3.0    3.0    3.0
   6   99    3.6    3.6    3.6
   6  100    5.9    5.9    5.9
   7    1    3.0    3.0    3.0
   7    2    2.4    2.4    2.4
   7    3    2.6    2.6    2.6
   7    4    2.5    2.5    2.5
   7    5    2.4    2.4    2.4
   7    6    2.3    2.3    2.3
   7    7    2.5    2.5    2.5
   7    8    2.6    2.6    2.6
   7    9    3.1    3.1    3.1
   7   10    3.3    3.3    3.3
   7   11    3.3    3.3    3.3
   7   12    4.0    4.0    4.0
   7   13    3.8    3.8    3.8
   7   14    3.4    3.4    3.4
   7   15    3.4    3.4    3.4
   7   16    3.3    3.3    3.3
   7   17    3.3    3.3    3.3
   7   18    3.2    3.2    3.2
   7   19    3.4    3.4    3.4
   7   20    3.3    3.3    3.3
   7   21    3.3    3.3    3.3
   7   22    3.3    3.3    3.3
   7   23    3.3    3.3    3.3
   7   24    3.3    3.3    3.3
   7   25    2.6    2.6    2.6
   7   26    1.4    1.4    1.4
   7   27    1.4    1.4    1.4
   7   28    1.7    1.7    1.7
   7   29    6.0    6.0    6.0
   7   30    6.4    6.4    6.4
   7   31    4.4    4.4    4.4
   7   32    4.2    4.2    4.2
   7   33    4.3    4.3    4.3
   7   34    4.3    4.3    4.3
   7   35    4.4    4.4    4.4
   7   36    4.4    4.4    4.4
   7   37    4.3    4.3    4.3
   7   38    4.2    4.2    4.2
   7   39    4.2    4.2    4.2
   7   40    4.2    4.2    4.2
   7   41    4.2    4.2    4.2
   7   42    4.3    4.3    4.3
   7   43    4.3    4.3    4.3
   7   44    4.3    4.3    4.3
   7   45    4.3    4.3    4.3
   7   46    4.6    4.6    4.6
   7   47    4.8    4.8    4.8
   7   48    4.9    4.9    4.9
   7   49    5.0    5.0    5.0
   7   50    4.9    4.9    4.9
   7   51    4.9    4.9    4.9
   7   52    4.9    4.9    4.9
   7   53    4.9    4.9    4.9
   7   54    4.9    4.9    4.9
   7   55    4.9    4.9    4.9
   7   56    4.8    4.8    4.8
   7   57    4.7    4.7    4.7
